Tipo;Nombre;Latitud;Longitud;Provincia;Ciudad
1;Santo Domingo;-0.2389045;-79.1774268;Santo Domindo de los Stáchilas;Santo Domingo
1;Parque Zacay;-0.2541717;-79.1688151;Santo Domindo de los Stáchilas;Santo Domingo
1;Complejo Turistico Rio Cristal;-1.7787055;-79.2773867;Santo Domindo de los Stáchilas;Santo Domingo
1;Bosque La Perla;-0.014502;-79.3866092;Santo Domindo de los Stáchilas;Santo Domingo
1;Reserva Faunística Cuyabeno;-0.2713055;-75.7531906;Sucumbíos;Cuyabeno
1;Rio Aguarico;-0.3715772;-76.3511371;Sucumbíos;Cuyabeno
1;Laguna Grande;-0.0554326;-79.2607628;Sucumbíos;Cuyabeno
1;Baños De Agua Santa;-1.3928344;-78.4268758;Tungurahua;Baños
1;Parque La Familia En Ambato;-1.2438848;-78.6633375;Tungurahua;Ambato
1;Casa De Montalvo En Ambato;-1.2437069;-79;Tungurahua;Ambato
1;La Cordillera de los Llangantes;-1.1945173;-78.3613482;Tungurahua;Baños de Agua Santa
1;El Cariguairazo;-1.4043015;-78.7567377;Tungurahua;Ambato
1;Rio Bomboscaro;-4.0620941;-78.948623;Zamora Chimchipe;Zamora
2;Universidad Católica De Santiago De Guayaquil;-0.21827353;-79.89967800;Guayas;Guayaquil
2;Universidad Politécnica Salesiana - Ups;-0.28863856;-78.99100240;Azuay;Cuenca
2;Universidad Central Del Ecuador;-0.20063190;-78.50408980;Pichincha;Quito
2;Universidad Tecnológica Equinoccial;-0.18437940;-78.49554930;Pichincha;Quito
2;Escuela Superior Politécnica De Chimborazo;-1.65793610;-78.67853640;Chimborazo;Chimborazo
2;Escuela Superior Politécnica Del Litoral;-0.21481458;-79.96668260;Guayas;Guayaquil
2;Universidad San Francisco De Quito;-0.19713470;-78.43618050;Pichincha;Quito
2;Universidad Técnica Particular De Loja;-0.39869426;-79.20059060;Loja;Loja
2;Pontificia Universidad Católica Del Ecuador;-0.20938060;-78.49377410;Pichincha;Quito
2;Universidad De Cuenca;-0.29008206;-79.01244770;Azuay;Cuenca
2;Universidad De Las Fuerzas Armadas - Espe. Sangolquí;-0.31453570;-78.44588580;Pichincha;Sangolquí
2;Universidad Técnica De Ambato;-0.12690951;-78.62575390;Tungurahua;Ambato
2;Escuela Politécnica Nacional;-0.21018670;-78.49088530;Pichincha;Quito
2;Universidad Nacional De Loja;-0.40328326;-79.20401220;Loja;Loja
2;Universidad Internacional Del Ecuador;-0.24489480;-78.47255510;Pichincha;Quito
2;Universidad Del Azuay;-0.29189772;-79.00418280;Azuay;Cuenca
2;Universidad Católica De Cuenca;-0.29010364;-79.00142960;Azuay;Cuenca
2;Universidad Nacional De Chimborazo;-0.16527022;-78.64440940;Chimborazo;Chimborazo
2;Universidad Técnica Estatal De Quevedo;-0.10126968;-79.47170370;Los Ríos;Quevedo
2;Uees;-0.21325098;-79.86763350;Guayas;Guayaquil
2;Universidad Politécnica Estatal Del Carchi;0.80482330;-77.73619680;Carchi;Carchi
2;Universidad Internacional Sek Ecuador;-0.09320400;-78.48719180;Pichincha;Quito
2;Universidad Agraria Del Ecuador;-0.21445230;-79.576410;Guayas;Milagro
2;Yachay;0.40441860;-78.17747160;Imbabura;Ibarra
2;Universidad Casa Grande;-0.21674280;-79.92015710;Guayas;Guayaquil
2;Universidad Técnica De Manabí;-0.10441708;-80.45810580;Manabí;Manabí
2;Universidad San Gregorio De Portoviejo;-0.10634949;-80.47308560;Manabí;Manabí
2;Universidad Del Pacífico - Ecuador;-0.21829019;-79.94964720;Guayas;Guayaquil
